"case.name","case.issue","WHRehnquist","JPStevens","SDOConnor","AScalia","AMKennedy","DHSouter","CThomas","RBGinsburg","SGBreyer"
"6895","1994-001","2",1,2,1,1,1,1,1,1,1
"6896","1994-002","2",1,1,1,1,1,1,1,1,1
"6897","1994-003","1",1,1,1,1,1,1,1,1,1
"6898","1994-004","9",2,2,2,2,2,2,2,2,2
"6899","1994-005","8",2,1,2,2,1,1,2,1,1
"6900","1994-006","3",2,2,2,1,2,2,1,2,2
"6902","1994-008","8",1,1,1,1,1,1,1,1,1
"6903","1994-009","2",2,2,2,2,2,2,2,2,2
"6904","1994-010","10",1,1,1,1,1,1,1,1,1
"6905","1994-011","9",1,1,1,1,1,1,1,1,1
"6906","1994-012","1",1,2,1,2,2,2,1,2,1
"6907","1994-013","8",1,2,1,1,1,1,1,1,1
"6908","1994-014","1",1,2,1,1,1,2,1,1,1
"6910","1994-016","9",1,1,1,1,1,1,1,1,1
"6911","1994-017","10",2,2,2,1,2,2,1,2,2
"6912","1994-018","1",1,2,2,1,1,2,1,2,2
"6913","1994-019","2",2,2,2,2,2,2,2,2,2
"6914","1994-020","1",1,2,1,1,1,1,1,1,1
"6915","1994-021","3",2,2,1,2,2,2,2,2,2
"6916","1994-022","8",1,1,1,1,1,1,1,1,1
"6917","1994-023","1",1,2,2,1,2,2,1,2,2
"6918","1994-024","3",1,2,2,1,2,2,1,2,2
"6919","1994-025","1",1,2,1,1,1,1,1,1,1
"6921","1994-027","9",1,1,1,1,1,1,1,1,1
"6922","1994-028","8",1,1,1,2,1,1,2,2,2
"6923","1994-029","1",1,2,1,1,1,1,1,2,1
"6924","1994-030","9",1,1,1,1,1,1,1,1,1
"6925","1994-031","8",2,2,2,2,2,2,1,2,2
"6926","1994-032","8",1,1,1,1,1,1,1,1,1
"6927","1994-033","9",1,1,2,2,1,2,2,1,1
"6928","1994-034","1",1,1,1,1,1,1,1,1,1
"6929","1994-035","9",1,1,1,1,1,1,1,1,1
"6930","1994-036","2",1,1,1,1,1,1,1,1,1
"6931","1994-037","8",1,1,1,1,1,1,1,1,1
"6932","1994-038","8",2,2,1,2,2,2,2,2,1
"6933","1994-039","2",1,2,1,1,1,1,1,1,1
"6935","1994-041","8",2,2,2,2,2,2,2,2,2
"6936","1994-042","10",1,1,1,1,1,1,1,1,1
"6937","1994-043","8",2,2,2,2,2,2,2,2,2
"6938","1994-044","9",1,2,1,1,1,1,1,2,1
"6939","1994-045","3",1,2,2,1,2,2,2,2,2
"6940","1994-046","2",1,1,2,1,1,2,1,1,2
"6941","1994-047","1",1,2,2,1,1,2,1,2,2
"6942","1994-048","3",2,2,2,2,2,2,2,2,2
"6943","1994-049","1",1,2,1,1,1,2,1,1,1
"6944","1994-050","12",2,1,1,1,2,1,2,1,1
"6945","1994-051","10",1,2,1,1,1,2,1,2,2
"6946","1994-052","10",1,1,1,1,1,1,1,1,1
"6947","1994-053","1",1,1,1,1,1,1,1,1,1
"6949","1994-055","1",1,2,1,2,2,1,2,2,2
"6950","1994-056","2",2,2,2,1,1,2,1,2,2
"6951","1994-057","4",2,2,2,2,2,2,2,2,2
"6952","1994-058","2",1,2,1,1,1,1,1,1,2
"6953","1994-059","10",1,2,1,1,2,2,1,2,2
"6954","1994-060","1",2,2,2,2,2,2,2,2,2
"6955","1994-061","8",2,2,2,2,2,2,2,2,2
"6957","1994-063","1",1,1,1,1,1,1,1,1,1
"6958","1994-064","1",1,2,2,2,2,2,1,2,2
"6959","1994-065","1",1,2,1,1,1,1,1,1,1
"6960","1994-066","2",1,2,1,1,1,2,1,2,2
"6961","1994-067","2",2,2,2,2,2,2,2,2,2
"6963","1994-069","2",1,2,1,1,1,2,1,2,2
"6965","1994-071","8",1,2,1,1,1,1,1,1,1
"6966","1994-072","9",1,1,1,1,1,1,1,1,1
"6967","1994-073","9",2,2,2,2,2,2,2,2,2
"6968","1994-074","12",2,2,1,2,2,1,1,2,2
"6969","1994-075","8",2,2,2,2,2,2,2,2,2
"6970","1994-076","1",1,2,1,1,1,1,1,1,1
"6971","1994-077","9",1,2,2,1,2,1,1,2,2
"6972","1994-078","2",1,2,2,1,1,2,1,1,2
"6973","1994-080","4",1,2,1,1,1,2,1,2,2
"6974","1994-081","1",2,2,2,2,2,2,2,2,2
"6976","1994-083","3",2,2,2,2,2,2,2,2,2
"6977","1994-084","9",1,1,1,1,1,1,1,1,1
"6978","1994-085","1",2,2,2,1,1,2,1,2,2
"6979","1994-086","6",1,2,1,1,2,2,1,2,1
"6980","1994-087","5",1,2,2,1,1,2,1,1,1
"6981","1994-088","8",1,2,2,1,2,2,1,2,2
"6982","1994-089","9",1,1,1,1,1,1,1,1,1
"6983","1994-090","3",1,2,1,1,1,1,1,2,1
"6984","1994-091","3",1,2,1,1,1,2,1,2,2
"6985","1994-092","2",1,2,1,1,1,2,1,2,2
"6986","1994-093","1",1,2,1,1,1,2,1,2,2
"6988","1995-002","1",2,2,2,2,2,2,2,2,2
"6989","1995-003","8",1,1,1,1,1,1,1,1,1
"6991","1995-005","1",1,2,1,1,1,1,1,1,1
"6992","1995-006","8",1,1,1,2,1,1,1,1,2
"6993","1995-007","7",2,2,2,2,2,2,2,2,2
"6994","1995-008","1",1,2,2,2,2,2,1,2,2
"6996","1995-010","9",1,1,1,1,1,1,1,1,1
"6997","1995-011","1",2,2,2,2,2,2,2,2,2
"6998","1995-012","7",1,1,1,1,1,1,1,1,1
"6999","1995-013","9",2,2,2,1,2,2,1,2,2
"7000","1995-014","9",1,2,2,1,2,2,1,2,2
"7001","1995-015","8",2,2,2,2,2,2,2,2,2
"7002","1995-016","8",1,1,1,1,1,1,1,1,1
"7004","1995-018","12",2,1,2,2,2,2,1,2,2
"7005","1995-019","8",2,2,2,2,2,2,2,2,2
"7006","1995-020","1",1,1,1,1,1,1,1,1,1
"7007","1995-021","2",1,2,1,1,1,1,1,1,1
"7008","1995-022","9",2,1,2,2,2,2,2,2,1
"7009","1995-023","8",1,1,1,1,1,1,1,1,1
"7010","1995-024","8",1,2,1,1,1,1,1,1,1
"7013","1995-027","9",1,2,1,1,1,2,1,2,1
"7014","1995-028","8",1,1,1,1,1,1,1,1,1
"7015","1995-029","9",1,1,1,1,1,1,1,1,1
"7017","1995-031","4",1,2,1,1,2,2,1,1,2
"7018","1995-032","10",1,1,1,1,1,1,1,1,1
"7019","1995-033","9",1,1,1,1,1,1,1,1,1
"7020","1995-034","8",2,2,1,1,2,2,1,2,2
"7021","1995-035","2",1,1,1,1,1,1,1,1,1
"7022","1995-036","10",2,2,2,2,2,2,2,2,2
"7023","1995-037","10",1,2,1,1,1,2,1,2,2
"7024","1995-038","2",1,2,2,1,1,2,1,2,2
"7025","1995-039","1",2,2,2,2,2,2,2,2,2
"7026","1995-040","2",2,2,2,2,2,2,2,2,2
"7027","1995-041","1",1,2,2,1,1,2,1,2,2
"7028","1995-042","2",1,2,1,1,1,1,1,1,1
"7029","1995-043","1",1,2,1,1,1,2,1,2,1
"7030","1995-044","4",2,2,2,2,2,2,2,2,2
"7031","1995-045","1",1,1,1,1,1,1,1,1,1
"7032","1995-046","7",1,2,1,1,2,2,1,2,2
"7033","1995-047","1",1,2,1,1,2,1,1,1,1
"7034","1995-048","1",1,2,1,1,1,1,1,1,1
"7035","1995-049","3",2,2,2,2,2,2,2,2,2
"7036","1995-050","12",2,2,2,2,2,2,2,2,2
"7037","1995-051","9",2,2,2,2,2,2,2,2,2
"7038","1995-052","8",2,1,1,2,1,1,2,2,1
"7039","1995-053","5",1,2,2,1,2,2,1,2,2
"7040","1995-054","9",1,2,1,2,2,2,1,2,2
"7041","1995-055","10",2,2,2,2,2,2,1,2,2
"7042","1995-056","1",2,2,2,1,2,2,2,2,2
"7043","1995-057","9",2,2,2,2,2,2,2,2,2
"7044","1995-058","9",1,1,1,1,1,1,1,1,1
"7045","1995-059","2",1,1,1,1,1,1,1,1,1
"7046","1995-060","7",2,2,2,2,2,2,2,2,2
"7047","1995-061","4",2,2,2,2,2,2,2,2,2
"7048","1995-062","1",1,1,1,1,1,1,1,1,1
"7049","1995-063","1",2,2,2,2,2,2,2,2,2
"7050","1995-064","8",1,1,1,1,1,1,1,1,1
"7052","1995-066","8",1,1,1,1,1,1,1,1,1
"7053","1995-067","2",1,2,1,1,1,2,1,2,2
"7054","1995-068","2",1,2,1,1,1,2,1,2,2
"7055","1995-069","9",1,2,2,1,2,2,2,2,2
"7056","1995-070","4",1,2,2,1,1,2,1,1,2
"7057","1995-071","1",2,1,2,2,2,1,2,1,1
"7058","1995-072","1",1,1,2,1,1,1,1,1,2
"7060","1995-074","9",2,2,2,2,2,2,2,2,2
"7061","1995-075","1",1,2,1,1,1,2,1,2,2
"7062","1995-076","8",2,1,2,2,2,2,2,2,1
"7063","1995-077","12",2,2,2,2,2,2,2,2,2
"7064","1995-078","8",1,2,1,1,1,1,1,1,1
"7065","1995-079","1",1,2,1,1,1,1,1,1,1
"7066","1995-080","1",1,2,1,1,1,1,1,2,1
"7067","1995-081","4",1,2,1,1,1,1,1,1,1
"7068","1995-082","9",1,2,2,1,2,2,1,2,2
"7069","1995-084","10",1,2,1,1,2,2,1,2,2
"7071","1995-086","3",1,2,1,1,1,1,1,2,1
"7072","1995-087","1",1,1,1,1,1,1,1,1,1
"7073","1995-088","3",2,2,2,1,2,2,1,2,2
"7074","1995-089","3",2,2,2,1,2,2,1,2,2
"7075","1995-090","3",1,1,1,1,2,1,1,2,1
"7076","1995-095","8",2,1,1,1,1,1,1,2,1
"7077","1995-096","1",1,2,1,1,1,1,1,2,1
"7078","1996-001","2",1,1,1,1,1,1,1,1,1
"7079","1996-002","1",1,1,1,1,1,1,1,1,1
"7080","1996-003","2",2,2,2,2,2,2,2,2,2
"7081","1996-004","2",1,1,1,1,1,1,1,1,1
"7082","1996-005","1",1,2,1,1,1,1,1,1,1
"7083","1996-006","9",2,2,2,2,2,2,2,2,2
"7084","1996-007","2",1,2,1,1,1,1,1,1,1
"7085","1996-008","9",2,2,2,2,2,2,2,2,2
"7086","1996-009","12",2,2,1,1,2,2,1,2,2
"7087","1996-010","2",1,2,2,1,2,2,1,2,2
"7088","1996-011","9",1,1,1,1,1,1,1,1,1
"7090","1996-013","1",1,2,1,1,2,2,1,2,2
"7091","1996-014","2",2,2,2,2,2,2,2,2,2
"7092","1996-015","8",2,2,2,2,2,2,2,2,2
"7093","1996-016","9",1,1,1,1,1,1,1,1,1
"7094","1996-017","4",1,2,1,1,1,1,1,1,1
"7095","1996-018","8",2,2,2,2,2,2,2,2,2
"7096","1996-019","8",2,1,2,2,2,2,2,2,2
"7097","1996-020","10",2,2,2,2,2,2,2,2,2
"7098","1996-021","2",2,2,2,2,2,2,2,2,2
"7099","1996-022","12",2,2,2,2,2,2,2,2,2
"7100","1996-023","5",1,1,1,1,1,1,1,1,1
"7101","1996-024","5",2,2,2,1,1,2,1,2,2
"7102","1996-026","1",1,2,1,1,2,1,1,1,1
"7103","1996-027","8",2,2,2,2,2,2,2,2,2
"7104","1996-028","1",2,2,2,2,2,2,2,2,2
"7105","1996-029","7",1,1,1,1,1,1,1,1,1
"7106","1996-030","8",1,1,1,1,1,1,1,1,1
"7107","1996-031","1",1,2,1,1,1,1,1,1,1
"7108","1996-032","1",1,2,1,1,1,1,1,1,2
"7109","1996-033","8",2,2,2,2,2,2,2,2,2
"7110","1996-034","9",1,1,1,1,1,1,1,1,1
"7111","1996-035","9",1,1,1,1,1,1,1,1,1
"7112","1996-036","12",1,1,1,2,1,1,1,1,2
"7113","1996-037","4",2,2,2,2,2,2,2,2,2
"7114","1996-038","9",2,2,2,2,2,2,2,2,2
"7115","1996-039","3",1,1,2,2,1,1,2,2,1
"7116","1996-040","1",1,1,1,1,1,1,1,1,1
"7117","1996-041","2",2,2,2,2,2,2,2,2,2
"7118","1996-042","5",1,1,1,1,1,1,1,1,1
"7119","1996-043","2",1,2,1,1,1,1,1,1,1
"7120","1996-044","5",1,2,2,2,2,2,2,2,2
"7121","1996-045","9",1,1,1,1,1,1,1,1,1
"7122","1996-046","2",1,2,1,1,1,2,1,2,1
"7123","1996-047","1",1,1,1,1,1,1,1,1,1
"7124","1996-048","2",1,2,1,1,1,2,1,2,2
"7125","1996-049","2",1,1,1,1,1,1,1,1,1
"7126","1996-050","1",1,1,1,1,1,1,1,1,1
"7127","1996-051","2",1,2,1,1,1,2,1,1,1
"7128","1996-052","8",2,2,2,2,2,2,2,2,2
"7129","1996-053","1",1,2,2,1,1,1,1,2,2
"7130","1996-054","8",1,2,1,1,1,1,1,2,2
"7131","1996-055","8",1,2,2,1,2,2,1,1,2
"7132","1996-056","2",1,1,1,1,1,1,1,1,1
"7133","1996-057","2",1,1,1,1,1,1,1,1,1
"7134","1996-058","1",1,1,1,1,1,1,1,1,1
"7135","1996-059","8",1,1,1,1,1,1,1,1,1
"7136","1996-060","4",2,2,2,2,2,2,2,2,2
"7137","1996-061","1",1,2,1,1,1,1,1,2,2
"7138","1996-062","2",1,2,1,1,1,2,1,2,2
"7140","1996-064","9",1,1,1,1,1,1,1,1,1
"7141","1996-065","10",1,2,1,2,2,2,2,1,1
"7142","1996-066","8",2,2,1,1,2,2,1,2,2
"7143","1996-067","9",2,1,1,1,1,1,1,1,2
"7144","1996-068","1",2,2,2,2,2,2,2,2,2
"7145","1996-069","10",1,1,1,1,1,1,1,1,1
"7146","1996-070","4",1,1,1,1,1,1,1,1,1
"7148","1996-072","8",1,1,1,1,1,1,1,1,1
"7149","1996-073","8",1,2,1,1,1,1,1,1,1
"7151","1996-075","10",1,2,2,1,2,2,1,2,2
"7152","1996-076","2",1,2,1,1,1,2,1,2,2
"7153","1996-077","8",2,2,1,1,2,2,1,2,2
"7154","1996-078","1",1,2,1,1,1,2,1,2,2
"7155","1996-079","1",1,1,1,1,1,1,1,1,1
"7156","1996-080","3",1,2,1,1,1,2,1,2,2
"7157","1996-081","10",1,2,1,1,1,2,1,2,2
"7158","1996-082","1",1,2,2,1,1,2,1,2,2
"7159","1996-083","4",1,2,1,1,1,2,1,2,2
"7160","1996-084","2",1,2,2,1,1,2,1,2,2
"7161","1996-085","8",1,2,1,1,1,1,1,2,1
"7162","1996-086","3",2,1,1,2,1,2,2,1,1
"7164","1996-088","2",2,2,1,1,1,2,1,2,2
"7166","1996-090","8",1,2,2,1,2,2,1,2,2
"7167","1996-091","5",1,1,1,1,1,1,1,1,1
"7168","1996-092","5",1,1,1,1,1,1,1,1,1
"7169","1996-093","9",1,2,1,1,1,1,1,1,2
"7170","1996-094","3",2,2,2,2,2,2,2,2,2
"7171","1996-095","10",1,2,1,1,1,2,1,2,2
"7172","1996-096","2",2,2,2,2,2,2,2,2,2
"7173","1996-097","1",1,2,1,1,1,1,1,1,2
"7174","1997-001","2",1,2,1,1,1,1,1,1,1
"7175","1997-002","8",2,2,2,2,2,2,2,2,2
"7176","1997-003","1",1,1,1,1,1,1,1,1,1
"7177","1997-004","2",1,1,1,1,1,2,1,1,2
"7178","1997-005","1",1,1,1,1,1,1,1,1,1
"7179","1997-006","2",2,2,2,2,2,2,2,2,2
"7180","1997-007","9",1,2,1,1,1,1,1,1,1
"7181","1997-008","1",2,2,2,2,2,2,2,2,2
"7182","1997-009","1",1,1,1,1,1,1,1,1,1
"7183","1997-010","2",2,2,2,2,2,2,2,2,2
"7184","1997-011","9",2,2,2,2,2,2,2,2,2
"7185","1997-012","9",2,1,2,2,2,2,2,1,2
"7186","1997-013","8",2,2,2,2,2,2,2,2,2
"7187","1997-014","8",2,2,2,2,2,2,2,2,2
"7189","1997-016","9",2,1,1,1,2,2,1,1,1
"7190","1997-017","4",1,1,1,1,1,1,1,1,1
"7191","1997-018","1",1,2,1,1,1,1,1,2,2
"7192","1997-019","8",2,1,1,1,2,1,1,2,1
"7193","1997-020","2",1,1,1,1,1,1,1,1,1
"7194","1997-021","7",1,2,1,1,1,2,1,2,2
"7195","1997-024","1",1,2,1,1,1,1,1,1,2
"7196","1997-025","2",1,2,2,1,2,2,1,2,2
"7197","1997-026","8",1,1,1,1,1,1,1,1,1
"7198","1997-027","2",1,2,1,1,1,1,1,1,1
"7199","1997-028","9",1,1,2,2,1,1,2,1,1
"7200","1997-029","9",1,1,1,1,1,1,1,1,1
"7201","1997-030","8",1,2,2,1,1,2,1,1,2
"7202","1997-031","2",1,1,1,1,1,1,1,1,1
"7203","1997-032","9",1,2,1,1,1,1,1,1,1
"7204","1997-033","9",1,1,1,1,1,1,1,1,1
"7205","1997-034","8",2,2,2,2,2,2,2,2,2
"7206","1997-035","8",2,2,2,2,2,2,2,2,2
"7207","1997-036","1",1,1,1,1,1,1,1,1,1
"7208","1997-037","2",2,2,2,2,2,2,2,2,2
"7209","1997-038","9",1,1,1,1,1,1,1,1,1
"7210","1997-039","8",2,2,2,2,2,2,2,2,2
"7211","1997-040","1",2,2,2,2,1,2,2,2,2
"7212","1997-041","1",1,2,2,1,1,2,1,2,2
"7213","1997-042","2",1,2,1,1,1,1,1,1,1
"7214","1997-043","9",2,2,2,2,2,2,2,2,2
"7215","1997-044","8",1,1,1,1,1,1,1,1,1
"7216","1997-045","1",1,2,1,2,1,2,1,2,1
"7217","1997-046","4",1,1,1,1,1,1,1,1,1
"7218","1997-047","9",1,1,1,1,1,1,1,1,1
"7219","1997-048","1",1,2,1,1,1,1,1,1,1
"7220","1997-049","8",2,2,2,2,2,2,2,2,2
"7221","1997-050","12",1,1,1,1,1,1,1,1,1
"7222","1997-051","1",1,2,1,1,1,1,1,2,2
"7223","1997-052","12",2,2,2,2,2,2,2,2,2
"7224","1997-053","2",2,2,2,1,2,2,1,2,2
"7225","1997-054","8",1,1,1,1,1,1,1,1,1
"7226","1997-055","2",1,1,1,1,1,2,1,2,2
"7227","1997-056","9",2,2,2,2,2,2,2,2,2
"7228","1997-057","1",1,1,1,1,1,1,1,1,1
"7229","1997-058","12",1,1,1,1,1,1,1,1,1
"7230","1997-059","1",1,2,1,1,1,2,1,2,2
"7231","1997-060","2",1,2,1,1,2,2,1,2,2
"7232","1997-061","9",1,1,1,1,1,1,1,1,1
"7233","1997-062","1",2,2,2,1,2,2,1,2,2
"7234","1997-063","1",2,2,2,1,2,2,1,2,2
"7235","1997-064","9",1,1,1,1,1,1,1,1,1
"7236","1997-065","3",1,2,1,1,1,2,1,2,1
"7237","1997-066","2",1,1,1,1,1,1,1,1,1
"7238","1997-067","9",1,1,1,1,1,1,1,1,1
"7239","1997-068","9",1,1,1,1,1,1,1,1,1
"7240","1997-069","2",2,1,2,2,2,2,1,1,2
"7242","1997-071","8",2,2,2,2,2,2,2,2,2
"7243","1997-072","7",1,2,1,1,1,1,1,1,2
"7244","1997-073","9",2,2,2,2,2,2,2,2,2
"7245","1997-074","9",2,2,1,1,2,2,1,2,2
"7246","1997-075","9",1,1,1,1,1,1,1,1,1
"7247","1997-076","8",2,2,2,2,2,2,2,2,2
"7248","1997-077","8",2,2,2,2,2,2,2,2,2
"7249","1997-078","1",1,2,1,1,1,1,1,1,1
"7250","1997-079","2",1,1,1,1,1,1,1,1,1
"7251","1997-080","8",1,1,1,1,1,1,1,1,1
"7252","1997-081","1",2,1,1,2,1,2,1,2,1
"7253","1997-082","1",1,1,1,1,1,1,1,1,1
"7254","1997-083","4",1,2,1,1,1,2,1,2,2
"7255","1997-084","1",2,1,1,2,1,1,1,2,1
"7256","1997-085","2",2,2,2,2,2,2,2,2,2
"7258","1997-087","1",1,2,1,1,2,2,1,2,2
"7259","1997-088","9",2,2,2,2,2,2,2,2,2
"7260","1997-089","2",1,2,1,1,1,2,1,2,2
"7261","1997-090","1",1,1,1,2,1,2,2,1,1
"7262","1997-091","1",1,2,1,1,1,2,2,2,2
"7263","1997-092","1",1,2,1,1,1,2,1,2,2
"7264","1997-093","9",2,2,2,2,2,2,2,2,2
"7265","1997-094","1",2,2,1,1,2,2,1,2,2
"7267","1997-096","4",1,2,1,1,1,2,1,2,2
"7268","1997-097","3",1,1,1,1,1,2,1,1,1
"7269","1997-098","2",1,2,1,1,2,2,1,2,2
"7270","1997-099","1",1,1,1,1,1,1,1,2,2
"7271","1997-100","1",1,2,1,2,1,2,1,2,1
"7272","1997-101","2",2,2,2,1,2,2,1,2,2
"7273","1997-102","2",2,2,2,1,2,2,1,2,2
"7274","1998-001","7",2,2,2,2,2,2,2,2,2
"7275","1998-002","8",2,2,2,2,2,2,2,2,2
"7276","1998-003","7",2,2,2,2,2,2,2,2,2
"7277","1998-004","1",1,2,1,1,1,2,1,2,1
"7278","1998-005","1",2,2,2,2,2,2,2,2,2
"7279","1998-006","9",1,1,1,1,1,1,1,1,1
"7280","1998-007","2",2,2,2,2,2,2,2,2,2
"7281","1998-008","8",1,1,1,1,1,1,1,1,1
"7282","1998-009","1",1,2,1,1,1,2,1,2,2
"7283","1998-010","2",1,2,1,1,1,1,1,1,1
"7284","1998-011","8",1,2,1,1,1,1,1,1,1
"7285","1998-012","3",1,2,1,2,2,2,2,2,1
"7286","1998-013","4",2,2,2,2,2,2,2,2,2
"7287","1998-014","8",2,2,2,2,2,2,2,2,2
"7288","1998-015","8",1,1,1,1,1,1,1,1,1
"7289","1998-016","2",2,2,2,2,2,2,1,2,2
"7290","1998-017","10",2,2,2,2,2,2,2,2,2
"7294","1998-021","8",1,1,1,1,1,1,1,1,1
"7295","1998-022","9",1,1,1,1,1,1,1,1,1
"7296","1998-023","2",1,1,1,1,1,1,1,1,1
"7297","1998-024","2",1,1,1,1,1,2,1,1,1
"7298","1998-025","1",1,1,1,2,1,1,2,1,1
"7299","1998-026","1",1,1,1,1,1,1,1,1,1
"7300","1998-027","10",1,1,1,1,1,1,1,1,1
"7301","1998-028","4",1,2,1,1,1,1,1,1,1
"7302","1998-029","2",2,2,2,2,1,2,1,2,2
"7303","1998-030","7",1,2,1,1,2,2,1,2,2
"7306","1998-033","2",1,2,1,1,1,1,1,1,1
"7308","1998-035","2",1,2,1,1,1,1,1,1,1
"7309","1998-036","9",2,2,2,2,2,2,2,2,2
"7310","1998-037","8",1,1,1,1,1,1,1,1,1
"7311","1998-038","2",1,2,2,1,1,2,1,2,2
"7312","1998-039","1",1,2,1,2,1,2,2,2,1
"7313","1998-040","2",1,2,1,1,1,1,1,1,1
"7314","1998-041","9",2,1,2,1,2,2,2,2,2
"7315","1998-042","8",2,2,2,2,2,2,2,2,2
"7316","1998-043","1",1,2,1,1,1,2,1,2,1
"7317","1998-044","1",1,2,1,1,2,2,1,2,2
"7318","1998-045","9",1,2,2,1,2,2,1,2,2
"7319","1998-046","8",2,2,2,2,2,2,2,2,2
"7320","1998-047","9",1,1,1,1,1,1,1,1,1
"7321","1998-048","8",1,1,1,1,1,1,1,1,1
"7322","1998-049","2",1,1,1,1,1,1,1,1,1
"7323","1998-050","8",1,2,1,1,1,1,1,1,1
"7324","1998-051","2",1,1,1,1,1,1,1,1,1
"7325","1998-052","2",1,2,2,2,2,2,1,2,2
"7326","1998-053","9",1,1,1,1,1,1,1,1,1
"7327","1998-054","2",2,2,2,2,2,2,2,2,2
"7328","1998-055","1",1,2,1,1,1,1,1,2,1
"7329","1998-056","9",2,2,2,2,2,2,2,2,2
"7331","1998-058","1",1,2,1,1,1,1,1,1,1
"7332","1998-059","2",1,2,2,1,1,2,1,2,2
"7333","1998-060","4",1,1,1,1,1,1,1,1,1
"7334","1998-061","8",1,2,1,1,2,1,1,2,2
"7335","1998-062","2",2,2,2,2,2,2,2,2,2
"7336","1998-063","1",1,2,1,1,1,1,1,1,1
"7337","1998-064","2",1,2,1,1,1,1,1,1,1
"7338","1998-065","1",2,2,1,2,1,2,2,1,2
"7339","1998-066","1",1,2,1,1,1,1,1,2,2
"7341","1998-068","1",1,1,1,2,1,2,1,2,1
"7342","1998-069","4",1,2,2,1,2,2,1,2,2
"7343","1998-070","1",2,2,2,2,2,2,2,2,2
"7344","1998-071","9",2,1,1,1,2,1,1,2,1
"7345","1998-072","3",2,2,2,2,2,2,2,2,2
"7346","1998-073","9",1,1,1,1,1,1,1,1,1
"7347","1998-074","2",1,2,2,1,1,2,1,2,2
"7348","1998-075","7",1,2,1,1,2,2,1,2,2
"7349","1998-076","1",1,1,1,1,2,2,1,1,1
"7350","1998-077","9",1,2,1,1,1,2,1,2,2
"7351","1998-078","6",1,2,1,1,1,1,1,2,1
"7352","1998-079","1",1,2,1,1,1,2,1,2,2
"7353","1998-080","10",1,1,2,1,1,1,1,1,2
"7355","1998-082","2",1,2,1,1,1,1,1,1,1
"7356","1998-083","2",1,2,1,1,1,1,1,1,2
"7357","1998-084","2",1,2,1,1,1,1,1,1,2
"7358","1998-085","2",1,2,1,1,1,2,1,2,2
"7359","1998-087","2",1,2,1,1,1,1,1,1,2
"7360","1998-088","2",1,2,2,1,2,2,1,2,2
"7361","1998-089","10",1,2,1,1,1,2,1,2,2
"7362","1998-090","10",1,2,1,1,1,2,1,2,2
"7363","1998-091","10",1,2,1,1,1,2,1,2,2
"7364","1998-092","9",1,2,1,1,1,1,1,1,2
"7365","1998-093","2",1,2,1,1,1,1,1,1,1
"7366","1999-001","9",2,2,2,1,2,2,1,2,2
"7367","1999-002","2",1,2,1,1,1,1,1,1,1
"7368","1999-003","2",1,2,1,1,1,1,1,1,1
"7369","1999-004","2",1,2,1,1,1,1,1,1,1
"7370","1999-005","2",1,2,1,1,1,1,1,1,1
"7371","1999-007","1",2,2,2,2,2,2,2,2,2
"7372","1999-008","2",1,2,1,1,1,1,1,1,1
"7373","1999-009","2",2,2,2,2,2,2,2,2,2
"7374","1999-010","9",1,1,1,1,1,1,1,1,1
"7375","1999-011","3",1,2,1,1,2,1,1,1,1
"7376","1999-012","12",2,2,2,2,2,2,2,2,2
